Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
1, 100, 0.011980000000000008, 0.0, 0.0, 0.0, 0.0
2, 104, 0.20024571076923078, 0.0, 0.0, 0.0, 99.0
3, 108, 0.19649957333333337, 0.0, 0.0, 0.0, 279.0
4, 108, 0.19833290666666678, 0.0, 0.0, 0.0, 279.0
5, 108, 0.2001662400000001, 0.0, 0.0, 0.0, 279.0
6, 108, 0.20163290666666678, 0.0, 0.0, 0.0, 279.0
7, 108, 0.20309957333333345, 0.0, 0.0, 0.0, 279.0
8, 108, 0.20493290666666678, 0.0, 0.0, 0.0, 279.0
9, 108, 0.20587157333333347, 0.0, 0.0, 0.0, 279.0
10, 108, 0.20770490666666677, 0.0, 0.0, 0.0, 439.0
11, 108, 0.20953824000000013, 0.0, 0.0, 0.0, 439.0
12, 108, 0.21137157333333345, 0.0, 0.0, 0.0, 439.0
13, 108, 0.21320490666666678, 0.0, 0.0, 0.0, 439.0
14, 108, 0.21503824000000013, 0.0, 0.0, 0.0, 439.0
15, 108, 0.2162115733333335, 0.0, 0.0, 0.0, 439.0
16, 108, 0.21804490666666682, 0.0, 0.0, 0.0, 439.0
17, 108, 0.2195115733333335, 0.0, 0.0, 0.0, 439.0
18, 108, 0.2213449066666668, 0.0, 0.0, 0.0, 527.0
19, 108, 0.22251824000000017, 0.0, 0.0, 0.0, 527.0
20, 108, 0.22435157333333353, 0.0, 0.0, 0.0, 527.0
21, 108, 0.2258182400000002, 0.0, 0.0, 0.0, 604.0
22, 108, 0.2276515733333335, 0.0, 0.0, 0.0, 764.0
23, 108, 0.22948490666666682, 0.0, 0.0, 0.0, 764.0
24, 108, 0.2309515733333335, 0.0, 0.0, 0.0, 764.0
25, 108, 0.23212490666666682, 0.0, 0.0, 0.0, 764.0
26, 108, 0.23395824000000015, 0.0, 0.0, 0.0, 764.0
27, 108, 0.23542490666666682, 0.0, 0.0, 0.0, 764.0
28, 108, 0.2368915733333335, 0.0, 0.0, 0.0, 852.0
29, 108, 0.23806490666666683, 0.0, 0.0, 0.0, 852.0
30, 108, 0.23989824000000015, 0.0, 0.0, 0.0, 852.0
31, 108, 0.24136490666666682, 0.0, 0.0, 0.0, 852.0
32, 108, 0.24283157333333355, 0.0, 0.0, 0.0, 852.0
33, 108, 0.24377024000000022, 0.0, 0.0, 0.0, 852.0
34, 108, 0.24437098666666687, 0.0, 0.0, 0.0, 852.0
35, 108, 0.24583765333333354, 0.0, 0.0, 0.0, 852.0
36, 108, 0.24767098666666687, 0.0, 0.0, 0.0, 852.0
37, 108, 0.2488443200000002, 0.0, 0.0, 0.0, 852.0
38, 108, 0.25031098666666685, 0.0, 0.0, 0.0, 852.0
39, 108, 0.2507915840000002, 0.0, 0.0, 0.0, 852.0
40, 108, 0.2517302506666668, 0.0, 0.0, 0.0, 852.0
41, 108, 0.2529035840000002, 0.0, 0.0, 0.0, 852.0
42, 108, 0.25407691733333354, 0.0, 0.0, 0.0, 852.0
43, 108, 0.2555435840000002, 0.0, 0.0, 0.0, 852.0
44, 108, 0.2567169173333335, 0.0, 0.0, 0.0, 852.0
45, 108, 0.2585502506666668, 0.0, 0.0, 0.0, 992.0
46, 108, 0.26038358400000017, 0.0, 0.0, 0.0, 992.0
47, 108, 0.2622169173333335, 0.0, 0.0, 0.0, 992.0
48, 108, 0.2640502506666668, 0.0, 0.0, 0.0, 992.0
49, 108, 0.2652235840000002, 0.0, 0.0, 0.0, 992.0
50, 108, 0.26705691733333353, 0.0, 0.0, 0.0, 992.0
51, 108, 0.26753751466666686, 0.0, 0.0, 0.0, 992.0
52, 108, 0.2684761813333335, 0.0, 0.0, 0.0, 992.0
53, 108, 0.2696495146666668, 0.0, 0.0, 0.0, 992.0
54, 108, 0.27082284800000017, 0.0, 0.0, 0.0, 992.0
55, 108, 0.27228951466666684, 0.0, 0.0, 0.0, 992.0
56, 108, 0.2734628480000002, 0.0, 0.0, 0.0, 992.0
57, 108, 0.2738473258666669, 0.0, 0.0, 0.0, 992.0
58, 108, 0.2756806592000002, 0.0, 0.0, 0.0, 992.0
59, 108, 0.27714732586666685, 0.0, 0.0, 0.0, 992.0
60, 108, 0.2780859925333335, 0.0, 0.0, 0.0, 992.0
61, 108, 0.2790246592000002, 0.0, 0.0, 0.0, 992.0
62, 108, 0.27996332586666683, 0.0, 0.0, 0.0, 1132.0
63, 108, 0.2809019925333335, 0.0, 0.0, 0.0, 1132.0
64, 108, 0.28128647040000015, 0.0, 0.0, 0.0, 1132.0
65, 108, 0.2820374037333335, 0.0, 0.0, 0.0, 1132.0
66, 108, 0.2832107370666669, 0.0, 0.0, 0.0, 1132.0
67, 108, 0.28467740373333356, 0.0, 0.0, 0.0, 1132.0
68, 108, 0.28585073706666686, 0.0, 0.0, 0.0, 1132.0
69, 108, 0.2876840704000002, 0.0, 0.0, 0.0, 1220.0
70, 108, 0.2891507370666669, 0.0, 0.0, 0.0, 1220.0
71, 108, 0.2903240704000002, 0.0, 0.0, 0.0, 1220.0
72, 108, 0.29107500373333356, 0.0, 0.0, 0.0, 1220.0
73, 108, 0.29254167040000023, 0.0, 0.0, 0.0, 1220.0
74, 108, 0.29437500373333353, 0.0, 0.0, 0.0, 1220.0
75, 108, 0.2951259370666669, 0.0, 0.0, 0.0, 1220.0
76, 108, 0.29659260373333346, 0.0, 0.0, 0.0, 1220.0
77, 108, 0.29805927039999996, 0.0, 0.0, 0.0, 1220.0
78, 108, 0.29923260373333327, 0.0, 0.0, 0.0, 1220.0
79, 108, 0.3010659370666666, 0.0, 0.0, 0.0, 1220.0
80, 108, 0.3028992704, 0.0, 0.0, 0.0, 1220.0
81, 108, 0.3040726037333333, 0.0, 0.0, 0.0, 1220.0
82, 108, 0.30553927039999995, 0.0, 0.0, 0.0, 1220.0
83, 108, 0.30647793706666665, 0.0, 0.0, 0.0, 1220.0
84, 108, 0.3083112704, 0.0, 0.0, 0.0, 1220.0
85, 108, 0.3097779370666667, 0.0, 0.0, 0.0, 1220.0
86, 108, 0.31124460373333335, 0.0, 0.0, 0.0, 1220.0
87, 108, 0.3124179370666666, 0.0, 0.0, 0.0, 1220.0
88, 108, 0.31301868373333325, 0.0, 0.0, 0.0, 1220.0
89, 108, 0.31485201706666655, 0.0, 0.0, 0.0, 1220.0
90, 108, 0.3156029503999999, 0.0, 0.0, 0.0, 1220.0
91, 108, 0.3163538837333333, 0.0, 0.0, 0.0, 1220.0
92, 108, 0.3172925503999999, 0.0, 0.0, 0.0, 1220.0
93, 108, 0.31823121706666657, 0.0, 0.0, 0.0, 1220.0
94, 108, 0.31969788373333324, 0.0, 0.0, 0.0, 1220.0
95, 108, 0.32087121706666655, 0.0, 0.0, 0.0, 1220.0
96, 108, 0.3218098837333332, 0.0, 0.0, 0.0, 1220.0
97, 108, 0.3229832170666665, 0.0, 0.0, 0.0, 1220.0
98, 108, 0.3239218837333332, 0.0, 0.0, 0.0, 1220.0
99, 108, 0.32575521706666644, 0.0, 0.0, 0.0, 1220.0
100, 108, 0.32692855039999985, 0.0, 0.0, 0.0, 1220.0
120, 108, 0.5166450969370563, 0.0, 0.0, 0.0, 3430.0
140, 156, 0.5027047675648465, -0.4230769230769231, 0.17307692307692307, 0.0, 4073.0
160, 199, 0.459536420430207, -0.6733668341708543, 0.20603015075376885, 0.0, 5700.0
180, 216, 0.4608769768327177, -0.7731481481481481, 0.2175925925925926, 0.0, 6599.0
200, 247, 0.428677454573557, -0.9878542510121457, 0.2145748987854251, 0.0, 7014.0
220, 281, 0.39567784400346084, -1.0889679715302492, 0.21708185053380782, 0.0, 8266.0
240, 295, 0.39045055608976026, -1.152542372881356, 0.2271186440677966, 0.0, 8419.0
260, 359, 0.34439519710140676, -1.3481894150417828, 0.22562674094707522, 0.0, 8720.0
280, 379, 0.32759149669693355, -1.4089709762532983, 0.24802110817941952, 0.0, 9292.0
300, 400, 0.314675884305441, -1.4475, 0.255, 0.0, 10125.0
320, 450, 0.28716562676192803, -1.5622222222222222, 0.26, 0.0, 9433.0
340, 470, 0.2770623565647947, -1.6170212765957446, 0.2680851063829787, 0.0, 9881.0
360, 492, 0.26529298729313866, -1.6747967479674797, 0.2784552845528455, 0.0, 9927.0
380, 532, 0.24914240359884016, -1.75, 0.26879699248120303, 0.0, 10287.0
400, 561, 0.23939940493493908, -1.8021390374331552, 0.27450980392156865, 0.0, 10624.0
420, 601, 0.22490534552596858, -1.8635607321131447, 0.2612312811980033, 0.0, 10912.0
440, 669, 0.20524331640345933, -1.9596412556053813, 0.2571001494768311, 0.0, 10840.0
460, 692, 0.1994019912971925, -1.9884393063583814, 0.25, 0.0, 10554.0
480, 731, 0.18868806532515545, -2.045143638850889, 0.253077975376197, 0.0, 10946.0
500, 759, 0.17966360330901446, -2.096179183135705, 0.25691699604743085, 0.0, 10970.0
520, 784, 0.17180938105953605, -2.135204081632653, 0.2538265306122449, 0.0, 11095.0
540, 825, 0.16524173175058063, -2.2024242424242426, 0.25212121212121213, 0.0, 11195.0
560, 844, 0.1623324586540523, -2.227488151658768, 0.25118483412322273, 0.0, 11190.0
580, 885, 0.15438190556160322, -2.2644067796610168, 0.24858757062146894, 0.0, 11186.0
600, 915, 0.15024088271317576, -2.292896174863388, 0.25245901639344265, 0.0, 10982.0
620, 940, 0.14688090155829603, -2.328723404255319, 0.25851063829787235, 0.0, 11102.0
640, 980, 0.14228332752760198, -2.3744897959183673, 0.25612244897959185, 0.0, 11182.0
660, 1010, 0.1379975374570122, -2.4267326732673267, 0.2495049504950495, 0.0, 11331.0
680, 1055, 0.13221507937755864, -2.4786729857819907, 0.24739336492890995, 0.0, 11362.0
700, 1086, 0.12989547200147566, -2.5, 0.2440147329650092, 0.0, 11156.0
720, 1115, 0.12821140064628286, -2.5210762331838565, 0.242152466367713, 0.0, 10828.0
740, 1146, 0.1249068008950044, -2.538394415357766, 0.24345549738219896, 0.0, 11050.0
760, 1174, 0.12205539439414156, -2.5553662691652472, 0.2444633730834753, 0.0, 11095.0
780, 1194, 0.11956114261859961, -2.573701842546064, 0.24455611390284757, 0.0, 11276.0
800, 1223, 0.11702180849350056, -2.5838103025347507, 0.24448078495502862, 0.0, 11276.0
820, 1261, 0.11430433247684865, -2.613798572561459, 0.24107850911974624, 0.0, 11059.0
840, 1284, 0.11258216451341065, -2.61993769470405, 0.24065420560747663, 0.0, 10793.0
860, 1303, 0.1110946610368062, -2.6377590176515735, 0.23944742900997698, 0.0, 10939.0
880, 1323, 0.10990510154684456, -2.6507936507936507, 0.24111866969009826, 0.0, 10939.0
900, 1349, 0.10792023539720814, -2.6560415122312824, 0.24240177909562638, 0.0, 10839.0
920, 1381, 0.10572119327357081, -2.6850108616944244, 0.2447501810282404, 0.0, 11407.0
940, 1403, 0.10372665384090417, -2.692088382038489, 0.24376336421952957, 0.0, 11442.0
960, 1425, 0.102816055604326, -2.703157894736842, 0.24421052631578946, 0.0, 11342.0
980, 1460, 0.10082058301579706, -2.710958904109589, 0.24178082191780823, 0.0, 11162.0
1000, 1483, 0.0986258398702544, -2.724881995954147, 0.2454484153742414, 0.0, 11222.0
1020, 1499, 0.09727609679768925, -2.7364909939959974, 0.24616410940627084, 0.0, 11322.0
1040, 1542, 0.09516614611445282, -2.7619974059662775, 0.24643320363164722, 0.0, 10974.0
1060, 1578, 0.09347170019499305, -2.7724968314321927, 0.24524714828897337, 0.0, 10726.0
1080, 1599, 0.09225774214422715, -2.7842401500938085, 0.24702939337085678, 0.0, 11074.0
1100, 1629, 0.09045185606770126, -2.802332719459791, 0.24493554327808473, 0.0, 11322.0
1120, 1655, 0.08923706682199659, -2.806646525679758, 0.24290030211480362, 0.0, 11422.0
1140, 1685, 0.08790938973028603, -2.822551928783383, 0.24391691394658754, 0.0, 11422.0
1160, 1735, 0.08615004980305188, -2.8536023054755044, 0.2397694524495677, 0.0, 11342.0
1180, 1754, 0.08546819927686178, -2.854618015963512, 0.2394526795895097, 0.0, 11342.0
1200, 1781, 0.08405974592359723, -2.8736664795058955, 0.2386299831555306, 0.0, 11342.0
1220, 1823, 0.08271318307474455, -2.9007131102578168, 0.23642347778387274, 0.0, 11322.0
1240, 1850, 0.08159192057538817, -2.9086486486486485, 0.23675675675675675, 0.0, 11322.0
1260, 1882, 0.08067191178136246, -2.91817215727949, 0.2359192348565356, 0.0, 11322.0
1280, 1897, 0.08009008247399034, -2.9204006325777545, 0.23668950975224037, 0.0, 11125.0
1300, 1915, 0.0794776169121025, -2.92532637075718, 0.2381201044386423, 0.0, 11211.0
1320, 1941, 0.07844152001198662, -2.938691396187532, 0.23647604327666152, 0.0, 11196.0
1340, 1975, 0.07678703701353969, -2.950886075949367, 0.2369620253164557, 0.0, 11136.0
1360, 2009, 0.07567776994853061, -2.967645594823295, 0.2389248382279741, 0.0, 10991.0
1380, 2046, 0.07396466091198738, -2.9750733137829912, 0.2375366568914956, 0.0, 11055.0
1400, 2072, 0.07329872253005819, -2.9763513513513513, 0.23648648648648649, 0.0, 10692.0
