Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 413, 0.38165093748859485, 0.0, 0.0, 0.0, 7587.0
200, 687, 0.2777585187484608, 0.0, 0.0, 0.0, 10283.0
300, 964, 0.209332823106345, 0.0, 0.0, 0.0, 12545.0
400, 1225, 0.16430747128533518, 0.0, 0.0, 0.0, 13411.5
500, 1483, 0.1395856693158362, 0.0, 0.0, 0.0, 13435.0
600, 1732, 0.1211201341505124, 0.0, 0.0, 0.0, 13656.5
700, 2019, 0.10356735927313653, 0.0, 0.0, 0.0, 13747.5
800, 2286, 0.09160251943735773, 0.0, 0.0, 0.0, 13898.5
900, 2553, 0.08215789538682326, 0.0, 0.0, 0.0, 14130.0
1000, 2820, 0.07337829375081048, 0.0, 0.0, 0.0, 13606.5
1100, 3079, 0.06701074197689036, 0.0, 0.0, 0.0, 13803.0
1200, 3329, 0.06256215410998567, 0.0, 0.0, 0.0, 14083.0
1300, 3623, 0.057551746939639506, 0.0, 0.0, 0.0, 14074.0
1400, 3882, 0.05387428553973911, 0.0, 0.0, 0.0, 14132.0
1500, 4117, 0.05140866743863305, 0.0, 0.0, 0.0, 14210.5
1600, 4310, 0.0480188941597645, 0.0, 0.0, 0.0, 14051.0
1700, 4361, 0.04686049406193844, 0.0, 0.0, 0.0, 14057.0
1800, 4406, 0.0456760391377071, 0.0, 0.0, 0.0, 13678.5
1900, 4451, 0.04482860854827582, 0.0, 0.0, 0.0, 13699.5
2000, 4485, 0.04394470060569905, 0.0, 0.0, 0.0, 13994.0
2100, 4532, 0.0431519188098881, 0.0, 0.0, 0.0, 14285.0
2200, 4560, 0.04201779730353633, 0.0, 0.0, 0.0, 14021.0
2300, 4589, 0.040960190609589595, 0.0, 0.0, 0.0, 14199.5
2400, 4612, 0.040397184024541295, 0.0, 0.0, 0.0, 14408.0
2500, 4627, 0.03988657834227882, 0.0, 0.0, 0.0, 14043.0
2600, 4643, 0.03904852345292972, 0.0, 0.0, 0.0, 14105.0
2700, 4676, 0.03862425699979473, 0.0, 0.0, 0.0, 14067.5
2800, 4692, 0.038704359777974866, 0.0, 0.0, 0.0, 13729.5
2900, 4710, 0.038036303999987656, 0.0, 0.0, 0.0, 13744.5
3000, 4733, 0.03681005262829484, 0.0, 0.0, 0.0, 13662.5
