Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 415, 0.3704594087247673, -1.1590361445783133, 0.25783132530120484, 0.0, 7226.0
200, 715, 0.2687022128861937, -1.7244755244755245, 0.27412587412587414, 0.0, 10808.0
300, 1003, 0.19850828479270013, -2.086739780658026, 0.2662013958125623, 0.0, 13119.0
400, 1247, 0.15893361086459254, -2.3287890938251805, 0.2718524458700882, 0.0, 13912.0
500, 1505, 0.1384349495411289, -2.5382059800664454, 0.26312292358803985, 0.0, 13374.0
600, 1776, 0.1179701730675399, -2.699324324324324, 0.2528153153153153, 0.0, 13840.0
700, 2043, 0.10146622612591716, -2.804209495839452, 0.2520802741067058, 0.0, 14132.0
800, 2308, 0.09019497395237275, -2.93630849220104, 0.25086655112651646, 0.0, 14129.0
900, 2557, 0.0821872815234528, -3.0305044974579585, 0.24872897927258505, 0.0, 14330.0
1000, 2855, 0.07361877640729343, -3.1194395796847636, 0.24238178633975482, 0.0, 13354.0
1100, 3119, 0.06676410938047077, -3.194934273805707, 0.23789676178262265, 0.0, 13606.0
1200, 3341, 0.0627788332039937, -3.271176294522598, 0.23705477401975455, 0.0, 14179.0
1300, 3651, 0.057213790660337965, -3.352506162695152, 0.2339085182141879, 0.0, 14072.0
1400, 3916, 0.05302596442246939, -3.4297752808988764, 0.23289070480081717, 0.0, 14097.0
1500, 4154, 0.050787793476756916, -3.4742416947520463, 0.23086181993259508, 0.0, 14197.0
1600, 4286, 0.04868620000019007, -3.5132991133924407, 0.22585160989267383, 0.0, 14137.0
1700, 4324, 0.04788315734098899, -3.547641073080481, 0.2227104532839963, 0.0, 14009.0
1800, 4364, 0.047061315777230814, -3.5531622364802935, 0.21814848762603117, 0.0, 14053.0
1900, 4417, 0.04649992308715098, -3.5931627801675345, 0.2091917591125198, 0.0, 13924.0
2000, 4463, 0.04530291781727322, -3.6123683620882816, 0.20255433564866682, 0.0, 14111.0
2100, 4502, 0.04444196126999886, -3.639715681919147, 0.1956908040870724, 0.0, 14335.0
2200, 4547, 0.042835950351382754, -3.697382889817462, 0.1882559929623928, 0.0, 13911.0
2300, 4586, 0.04199026237205283, -3.7372437854339293, 0.1814217182730048, 0.0, 14127.0
2400, 4610, 0.04090454635057946, -3.762255965292842, 0.1806941431670282, 0.0, 14216.0
2500, 4617, 0.040556670085425156, -3.795971410006498, 0.18106995884773663, 0.0, 13791.0
2600, 4620, 0.03926104264293868, -3.8205627705627707, 0.1829004329004329, 0.0, 13995.0
2700, 4646, 0.03889728272014731, -3.865906155832975, 0.17929401635815756, 0.0, 14055.0
2800, 4681, 0.039270827226078976, -3.9183935056611836, 0.17453535569322795, 0.0, 13601.0
2900, 4711, 0.03820524336981554, -3.9231585650604965, 0.17130120993419656, 0.0, 13429.0
3000, 4729, 0.037416759311448104, -3.962571368153944, 0.16599703954324382, 0.0, 13637.0
