Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Hyper Volumn
100, 412, 0.3928424662524224, -1.2087378640776698, 0.279126213592233, 0.0, 7948.0
200, 660, 0.2868148246107279, -1.709090909090909, 0.28484848484848485, 0.0, 9758.0
300, 926, 0.22015736141998982, -2.0421166306695464, 0.26457883369330454, 0.0, 11971.0
400, 1204, 0.16968133170607785, -2.2898671096345513, 0.2616279069767442, 0.0, 12911.0
500, 1461, 0.14073638909054353, -2.5037645448323067, 0.25051334702258726, 0.0, 13496.0
600, 1689, 0.12427009523348488, -2.619893428063943, 0.24215512137359385, 0.0, 13473.0
700, 1996, 0.10566849242035589, -2.7665330661322645, 0.23947895791583165, 0.0, 13363.0
800, 2264, 0.0930100649223427, -2.8613074204946995, 0.2336572438162544, 0.0, 13668.0
900, 2550, 0.08212850925019373, -2.9623529411764706, 0.22666666666666666, 0.0, 13930.0
1000, 2786, 0.07313781109432752, -3.0287150035893755, 0.228643216080402, 0.0, 13859.0
1100, 3039, 0.06725737457330996, -3.094109904573873, 0.22441592629154328, 0.0, 14000.0
1200, 3317, 0.06234547501597763, -3.1754597527886643, 0.2212842930358758, 0.0, 13987.0
1300, 3595, 0.05788970321894105, -3.246453407510431, 0.2200278164116829, 0.0, 14076.0
1400, 3848, 0.054722606657008836, -3.3183471933471935, 0.21933471933471935, 0.0, 14167.0
1500, 4080, 0.052029541400509194, -3.3610294117647057, 0.21764705882352942, 0.0, 14224.0
1600, 4334, 0.04735158831933894, -3.4072450392247347, 0.21873557914167052, 0.0, 13965.0
1700, 4399, 0.04583783078288789, -3.443509888611048, 0.21323027960900204, 0.0, 14105.0
1800, 4449, 0.04429076249818339, -3.4708923353562597, 0.20723758147898405, 0.0, 13304.0
1900, 4486, 0.04315729400940066, -3.4913062862238076, 0.2024074899687918, 0.0, 13475.0
2000, 4507, 0.04258648339412487, -3.521411138229421, 0.1994674950077657, 0.0, 13877.0
2100, 4562, 0.04186187634977734, -3.558526961858834, 0.19158263919333626, 0.0, 14235.0
2200, 4574, 0.041199644255689914, -3.585920419763883, 0.1884564932225623, 0.0, 14131.0
2300, 4592, 0.03993011884712636, -3.619773519163763, 0.18880662020905922, 0.0, 14272.0
2400, 4614, 0.03988982169850313, -3.654746423927178, 0.18747290853922843, 0.0, 14600.0
2500, 4638, 0.03921648659913248, -3.6828374299266926, 0.18477792151789565, 0.0, 14295.0
2600, 4666, 0.038836004262920776, -3.6969567081011574, 0.18024003429061294, 0.0, 14215.0
2700, 4706, 0.03835123127944215, -3.7209944751381214, 0.1738206544836379, 0.0, 14080.0
2800, 4704, 0.038137892329870755, -3.755527210884354, 0.17495748299319727, 0.0, 13858.0
2900, 4710, 0.03786736463015977, -3.7940552016985136, 0.17558386411889595, 0.0, 14060.0
3000, 4738, 0.03620334594514159, -3.8406500633178555, 0.17327986492190797, 0.0, 13688.0
